Account,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Sales,90000,91800,93636,95509,97419,99367,101354,103381,105449,107558,109709,111903,1207085
Sales Commission,4500,4590,4682,4775,4871,4968,5068,5169,5272,5378,5485,5595,60353
Sales Discount,1800,1836,1873,1910,1948,1987,2027,2068,2109,2151,2194,2238,24141
Direct Costs,49500,50490,51500,52530,53580,54652,55745,56860,57997,59157,60340,61547,663898
Office Rent,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,96000
Salaries,17500,17500,17500,17500,17500,17500,17500,17500,17500,17500,17500,17500,210000
Marketing,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,48000
Utilities,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
Depreciation,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
Other Expenses,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,21600
Net Surplus,-1100,-416,281,994,1720,2460,3214,3984,4771,5572,6390,7223,35093
