Bill No,Date,Due Date,Supplier,Amount,Amount Paid,Status
BILL-501,2026-01-03,2026-02-03,Media Buy Pte Ltd,1680,1680,Paid
BILL-502,2026-01-06,2026-02-06,CloudHost SG,2300,2300,Paid
BILL-503,2026-01-09,2026-02-09,Office Supplies Co,2920,2920,Paid
BILL-504,2026-01-12,2026-02-12,Freelance Design,3540,0,Authorised
BILL-505,2026-01-15,2026-02-15,Utilities Board,4160,4160,Paid
BILL-506,2026-01-18,2026-02-18,Landlord Holdings,4780,4780,Paid
BILL-507,2026-01-21,2026-02-21,Insurance Direct,5400,5400,Paid
BILL-508,2026-01-24,2026-02-24,Logistics Partner,6020,0,Authorised
BILL-509,2026-02-03,2026-03-03,Media Buy Pte Ltd,1860,1860,Paid
BILL-510,2026-02-06,2026-03-06,CloudHost SG,2480,2480,Paid
BILL-511,2026-02-09,2026-03-09,Office Supplies Co,3100,0,Authorised
BILL-512,2026-02-12,2026-03-12,Freelance Design,3720,3720,Paid
BILL-513,2026-02-15,2026-03-15,Utilities Board,4340,4340,Paid
BILL-514,2026-02-18,2026-03-18,Landlord Holdings,4960,4960,Paid
BILL-515,2026-02-21,2026-03-21,Insurance Direct,5580,0,Authorised
BILL-516,2026-02-24,2026-03-24,Logistics Partner,6200,6200,Paid
BILL-517,2026-03-03,2026-04-03,Media Buy Pte Ltd,2040,2040,Paid
BILL-518,2026-03-06,2026-04-06,CloudHost SG,2660,0,Authorised
BILL-519,2026-03-09,2026-04-09,Office Supplies Co,3280,3280,Paid
BILL-520,2026-03-12,2026-04-12,Freelance Design,3900,3900,Paid
BILL-521,2026-03-15,2026-04-15,Utilities Board,4520,4520,Paid
BILL-522,2026-03-18,2026-04-18,Landlord Holdings,5140,0,Authorised
BILL-523,2026-03-21,2026-04-21,Insurance Direct,5760,5760,Paid
BILL-524,2026-03-24,2026-04-24,Logistics Partner,6380,6380,Paid
BILL-525,2026-04-03,2026-05-03,Media Buy Pte Ltd,2220,0,Authorised
BILL-526,2026-04-06,2026-05-06,CloudHost SG,2840,2840,Paid
BILL-527,2026-04-09,2026-05-09,Office Supplies Co,3460,3460,Paid
BILL-528,2026-04-12,2026-05-12,Freelance Design,4080,4080,Paid
BILL-529,2026-04-15,2026-05-15,Utilities Board,4700,0,Authorised
BILL-530,2026-04-18,2026-05-18,Landlord Holdings,5320,5320,Paid
BILL-531,2026-04-21,2026-05-21,Insurance Direct,5940,5940,Paid
BILL-532,2026-04-24,2026-05-24,Logistics Partner,6560,6560,Paid
BILL-533,2026-05-03,2026-06-03,Media Buy Pte Ltd,2400,2400,Paid
BILL-534,2026-05-06,2026-06-06,CloudHost SG,3020,3020,Paid
BILL-535,2026-05-09,2026-06-09,Office Supplies Co,3640,3640,Paid
BILL-536,2026-05-12,2026-06-12,Freelance Design,4260,0,Authorised
BILL-537,2026-05-15,2026-06-15,Utilities Board,4880,4880,Paid
BILL-538,2026-05-18,2026-06-18,Landlord Holdings,5500,5500,Paid
BILL-539,2026-05-21,2026-06-21,Insurance Direct,6120,6120,Paid
BILL-540,2026-05-24,2026-06-24,Logistics Partner,6740,0,Authorised
BILL-541,2026-06-03,2026-07-03,Media Buy Pte Ltd,2580,2580,Paid
BILL-542,2026-06-06,2026-07-06,CloudHost SG,3200,3200,Paid
BILL-543,2026-06-09,2026-07-09,Office Supplies Co,3820,0,Authorised
BILL-544,2026-06-12,2026-07-12,Freelance Design,4440,4440,Paid
BILL-545,2026-06-15,2026-07-15,Utilities Board,5060,5060,Paid
BILL-546,2026-06-18,2026-07-18,Landlord Holdings,5680,5680,Paid
BILL-547,2026-06-21,2026-07-21,Insurance Direct,6300,0,Authorised
BILL-548,2026-06-24,2026-07-24,Logistics Partner,6920,6920,Paid
