Invoice No,Date,Due Date,Contact,Amount,Amount Paid,Status
INV-1001,2026-01-05,2026-02-05,Acme Retail,4320,4320,Paid
INV-1002,2026-01-07,2026-02-07,Bright Media,5170,5170,Paid
INV-1003,2026-01-09,2026-02-09,Coastal Foods,6020,0,Authorised
INV-1004,2026-01-11,2026-02-11,Delta Logistics,6870,6870,Paid
INV-1005,2026-01-13,2026-02-13,Evergreen Mart,7720,7720,Paid
INV-1006,2026-01-15,2026-02-15,Fusion Events,8570,0,Authorised
INV-1007,2026-01-17,2026-02-17,Galaxy Tech,9420,9420,Paid
INV-1008,2026-01-19,2026-02-19,Harbour Cafe,10270,10270,Paid
INV-1009,2026-01-21,2026-02-21,Island Traders,11120,0,Authorised
INV-1010,2026-01-23,2026-02-23,Jade Wellness,11970,11970,Paid
INV-1011,2026-02-05,2026-03-05,Acme Retail,4640,4640,Paid
INV-1012,2026-02-07,2026-03-07,Bright Media,5490,0,Authorised
INV-1013,2026-02-09,2026-03-09,Coastal Foods,6340,6340,Paid
INV-1014,2026-02-11,2026-03-11,Delta Logistics,7190,7190,Paid
INV-1015,2026-02-13,2026-03-13,Evergreen Mart,8040,0,Authorised
INV-1016,2026-02-15,2026-03-15,Fusion Events,8890,8890,Paid
INV-1017,2026-02-17,2026-03-17,Galaxy Tech,9740,9740,Paid
INV-1018,2026-02-19,2026-03-19,Harbour Cafe,10590,0,Authorised
INV-1019,2026-02-21,2026-03-21,Island Traders,11440,11440,Paid
INV-1020,2026-02-23,2026-03-23,Jade Wellness,12290,12290,Paid
INV-1021,2026-03-05,2026-04-05,Acme Retail,4960,0,Authorised
INV-1022,2026-03-07,2026-04-07,Bright Media,5810,5810,Paid
INV-1023,2026-03-09,2026-04-09,Coastal Foods,6660,6660,Paid
INV-1024,2026-03-11,2026-04-11,Delta Logistics,7510,0,Authorised
INV-1025,2026-03-13,2026-04-13,Evergreen Mart,8360,8360,Paid
INV-1026,2026-03-15,2026-04-15,Fusion Events,9210,9210,Paid
INV-1027,2026-03-17,2026-04-17,Galaxy Tech,10060,0,Authorised
INV-1028,2026-03-19,2026-04-19,Harbour Cafe,10910,10910,Paid
INV-1029,2026-03-21,2026-04-21,Island Traders,11760,11760,Paid
INV-1030,2026-03-23,2026-04-23,Jade Wellness,12610,0,Authorised
INV-1031,2026-04-05,2026-05-05,Acme Retail,5280,5280,Paid
INV-1032,2026-04-07,2026-05-07,Bright Media,6130,6130,Paid
INV-1033,2026-04-09,2026-05-09,Coastal Foods,6980,0,Authorised
INV-1034,2026-04-11,2026-05-11,Delta Logistics,7830,7830,Paid
INV-1035,2026-04-13,2026-05-13,Evergreen Mart,8680,8680,Paid
INV-1036,2026-04-15,2026-05-15,Fusion Events,9530,0,Authorised
INV-1037,2026-04-17,2026-05-17,Galaxy Tech,10380,10380,Paid
INV-1038,2026-04-19,2026-05-19,Harbour Cafe,11230,11230,Paid
INV-1039,2026-04-21,2026-05-21,Island Traders,12080,0,Authorised
INV-1040,2026-04-23,2026-05-23,Jade Wellness,12930,12930,Paid
INV-1041,2026-05-05,2026-06-05,Acme Retail,5600,5600,Paid
INV-1042,2026-05-07,2026-06-07,Bright Media,6450,0,Authorised
INV-1043,2026-05-09,2026-06-09,Coastal Foods,7300,7300,Paid
INV-1044,2026-05-11,2026-06-11,Delta Logistics,8150,8150,Paid
INV-1045,2026-05-13,2026-06-13,Evergreen Mart,9000,0,Authorised
INV-1046,2026-05-15,2026-06-15,Fusion Events,9850,9850,Paid
INV-1047,2026-05-17,2026-06-17,Galaxy Tech,10700,10700,Paid
INV-1048,2026-05-19,2026-06-19,Harbour Cafe,11550,0,Authorised
INV-1049,2026-05-21,2026-06-21,Island Traders,12400,12400,Paid
INV-1050,2026-05-23,2026-06-23,Jade Wellness,13250,13250,Paid
INV-1051,2026-06-05,2026-07-05,Acme Retail,5920,0,Authorised
INV-1052,2026-06-07,2026-07-07,Bright Media,6770,6770,Paid
INV-1053,2026-06-09,2026-07-09,Coastal Foods,7620,7620,Paid
INV-1054,2026-06-11,2026-07-11,Delta Logistics,8470,0,Authorised
INV-1055,2026-06-13,2026-07-13,Evergreen Mart,9320,9320,Paid
INV-1056,2026-06-15,2026-07-15,Fusion Events,10170,10170,Paid
INV-1057,2026-06-17,2026-07-17,Galaxy Tech,11020,0,Authorised
INV-1058,2026-06-19,2026-07-19,Harbour Cafe,11870,11870,Paid
INV-1059,2026-06-21,2026-07-21,Island Traders,12720,12720,Paid
INV-1060,2026-06-23,2026-07-23,Jade Wellness,13570,0,Authorised
